StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q4.1,Q4.1_4_TEXT,Q4.2,Q4.3,Q4.4,Q4.5,Q4.5_6_TEXT,Q4.6,Q4.7,Q4.8,Q4.8_6_TEXT,Q4.8_16_TEXT,Q4.9,opp,rid,RISN,V,PID,psid,K2,med,pid,Q_TotalDuration,MTurkCode,source,gc,term,Location,Q4.5_6_TEXT - Topics,Validation #1,Validation distance #1,Validation #2,Validation distance #2,Validation #3,Validation distance #3,Validation #4,Validation distance #4,Validation #5,Positive validation distance #5-0,Positive validation distance #5-1,Positive validation distance #5-2,Validation #6,Positive validation distance #6,Failed_Validation_Count
2017-12-29 15:33:16,2017-12-29 15:51:27,IP Address,198.232.219.254,100,1090,True,2017-12-29 15:51:29,R_1DMin3JjCRZNd50,40.760803222656,-111.89109802246,anonymous,EN,"Yes, I consent to this survey.",Male,,25 - 34,Bachelor's degree in college (4-year),No,White,,"$50,000 to $74,999","Married, or in a domestic partnership",Christian (Protestant),,,84027,,,,,300114.0,hqTJYTQVT8o3AN-sYS5uow**,66337.0,,300114.0,1090,16989330,,1.0,,,,False,2.0,True,1.0,False,4.0,True,1.0,True,1.0,1.0,0.0,True,0.0,2
2018-01-02 08:06:47,2018-01-02 08:18:27,IP Address,71.93.30.194,100,699,True,2018-01-02 08:18:29,R_1HeswVnwdxoUnHW,46.329895019531,-120.15699768066001,anonymous,EN,"Yes, I consent to this survey.",Male,,18 - 24,High school graduate (high school diploma or equivalent including GED),No,White,,"Over $100,000",Single (never married),No response,,,99350,Qual2598-1018Diagnostic,,,F,1407719230.0,hqTJYTQVT8pprFgoa2EuMw**,66337.0,21158019960563,1407719230.0,699,32923198,,1.0,,,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0,0.0,True,0.0,0
2018-01-02 08:03:00,2018-01-02 08:24:01,IP Address,174.255.200.204,100,1260,True,2018-01-02 08:24:02,R_3EDQRy3aoxSbiia,37.751007080078004,-97.82199859619101,anonymous,EN,"Yes, I consent to this survey.",Female,,35 - 49,Less than high school degree,No,White,,"Less than $20,000",Divorced,Christian (Other denominations),southern Baptist,,31701,Qual2598-1018Diagnostic,,,F,1434999096.0,hqTJYTQVT8pCjZ77oGjdow**,66337.0,21568036346543,1434999096.0,1260,35263902,,1.0,,,,False,3.0,True,0.0,True,1.0,True,0.0,False,2.0,0.0,2.0,True,0.0,2
2018-01-02 08:18:38,2018-01-02 08:33:53,IP Address,64.203.218.30,100,915,True,2018-01-02 08:33:55,R_1JOprt9LXVLLM5N,32.438903808594,-80.74659729003899,anonymous,EN,"Yes, I consent to this survey.",Female,,18 - 24,High school graduate (high school diploma or equivalent including GED),No,Black or African American,,"$20,000 to $34,999","Married, or in a domestic partnership",Christian (Other denominations),,,29902,Qual2598-1018Diagnostic,,,F,1397684910.0,hqTJYTQVT8od6MdVojNV0w**,66337.0,21007204130963,1397684910.0,915,90934938,,1.0,,,,True,1.0,True,1.0,True,1.0,True,0.0,False,1.0,2.0,3.0,True,0.0,1
2018-01-02 08:23:22,2018-01-02 08:33:56,IP Address,104.8.77.31,100,634,True,2018-01-02 08:33:58,R_1IipdczkvWbaF3C,33.651992797852,-84.320098876953,anonymous,EN,"Yes, I consent to this survey.",Female,,35 - 49,Associate degree in college (2-year),No,White,,"Less than $20,000",Divorced,No response,,,30288,Qual2598-1018Diagnostic,,,F,1236431963.0,hqTJYTQVT8qRiGSJiSE2Kw**,66337.0,18583572337553,1236431963.0,634,2157918,,1.0,,,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0,0.0,True,0.0,0
2018-01-02 08:17:15,2018-01-02 08:34:04,IP Address,76.217.153.89,100,1009,True,2018-01-02 08:34:06,R_2D2EfyCGYj4ZLvd,38.645004272461,-121.44039916991998,anonymous,EN,"Yes, I consent to this survey.",Female,,25 - 34,Bachelor's degree in college (4-year),No,White,,"Over $100,000",Single (never married),Agnostic,,,95825,Qual2598-1018Diagnostic,,,F,1434885239.0,hqTJYTQVT8rVMTSRFPBJSQ**,66337.0,21566325075833,1434885239.0,1009,91053554,,1.0,,,,True,0.0,True,1.0,False,3.0,True,0.0,True,1.0,1.0,0.0,False,2.0,2
2018-01-02 08:15:47,2018-01-02 08:43:58,IP Address,174.223.129.21,100,1690,True,2018-01-02 08:44:00,R_2zGhFltTONiCoK8,32.308395385742,-85.16400146484399,anonymous,EN,"Yes, I consent to this survey.",Female,,35 - 49,Some college but no degree,No,White,,"$50,000 to $74,999","Married, or in a domestic partnership",No response,,,31015,Qual2598-1018Diagnostic,,,F,1433127601.0,hqTJYTQVT8rvX0cAD9vxjw**,66337.0,21539907776693,1433127601.0,1690,14323469,,1.0,,,,True,1.0,False,3.0,True,1.0,False,2.0,True,1.0,1.0,0.0,True,1.0,2
2018-01-02 08:35:25,2018-01-02 08:49:51,IP Address,65.130.172.95,100,866,True,2018-01-02 08:49:53,R_6fhgy9KPUYbsBwZ,40.649993896484,-112.01499938965,anonymous,EN,"Yes, I consent to this survey.",Male,,50-64,Some college but no degree,No,White,,"$35,000 to $49,999",Divorced,Christian (Other denominations),born again,,84106,Qual2598-1018Diagnostic,,,F,1406254061.0,hqTJYTQVT8p_hD6h9_YDQQ**,66337.0,21135998470493,1406254061.0,866,91442621,,1.0,,,,True,0.0,True,1.0,True,0.0,True,1.0,True,0.0,0.0,0.0,False,4.0,1
2018-01-02 08:32:33,2018-01-02 08:59:37,IP Address,68.80.179.234,100,1624,True,2018-01-02 08:59:39,R_3HFv3oj4apoBEn7,39.747192382812,-75.591796875,anonymous,EN,"Yes, I consent to this survey.",Female,,25 - 34,Some college but no degree,No,White,,"$20,000 to $34,999","Married, or in a domestic partnership",Agnostic,,,19804,Qual2598-1018Diagnostic,,,F,1434403868.0,hqTJYTQVT8q8lx_nf4ElAA**,66337.0,21559090069703,1434403868.0,1624,26008448,,1.0,,,,True,1.0,False,2.0,True,0.0,True,1.0,True,0.0,1.0,1.0,True,0.0,1
2018-01-02 08:52:35,2018-01-02 09:09:48,IP Address,98.26.109.24,100,1033,True,2018-01-02 09:09:50,R_1ib9kidG8yi4e3u,35.910507202148,-79.082099914551,anonymous,EN,"Yes, I consent to this survey.",Female,,50-64,Bachelor's degree in college (4-year),No,White,,"$50,000 to $74,999",Divorced,Christian (Protestant),,,27510,Qual2598-1018Diagnostic,,,F,1281014655.0,hqTJYTQVT8rISHWpX5-96A**,66337.0,19253650198313,1281014655.0,1033,5439557,,1.0,,,,True,1.0,False,3.0,True,1.0,True,1.0,False,2.0,1.0,1.0,True,1.0,2
